Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_2_j_A,X_4_j_A,X_5_j_A,X_6_j_A,X_7_j_A,X_8_j_A,X_9_j_A,X_14_j_A,X_16_j_A,X_23_j_A,X_0_j_B,X_1_j_B,X_3_j_B,X_5_j_B,X_8_j_B,X_9_j_B,X_13_j_B,X_15_j_B,X_20_j_B,X_22_j_B,X_66_j_B,X_88_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,33,28,Q2,04:06,Sergio Llull,2nd of 2 free throws missed,1446,23,A,ESP,2,0,0.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,33,28,Q2,04:06,Willy Hernangomez,offensive rebound,1446,14,A,ESP,2,0,0.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_12.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_12--competition_208791,32,28,Q2,04:06,Selton Miguel,personal foul; 2 free throws awarded,1446,9,B,ANG,2,0,0.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,33,28,Q2,04:02,Willy Hernangomez,layup missed,1442,14,A,ESP,2,0,4.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_12.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_12--competition_208791,33,28,Q2,04:02,Abou Gakou,defensive rebound,1442,15,B,ANG,2,0,0.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,33,30,Q2,03:52,Santi Aldama,defensive rebound,1432,7,A,ESP,2,0,10.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,33,30,Q2,03:52,Rudy Fernandez,personal foul; 1 free throw awarded,1432,5,A,ESP,2,0,0.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_12.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_12--competition_208791,33,30,Q2,03:52,Luis Pereira,1st free throw missed,1432,88,B,ANG,2,0,0.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_12.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_12--competition_208791,33,30,Q2,03:52,Bruno Fernando,foul drawn,1432,20,B,ANG,2,0,0.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_12.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_12--competition_208791,33,30,Q2,03:52,Bruno Fernando,2pt turnaround jump shot made,1432,20,B,ANG,2,0,0.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_12.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_12--competition_208791,33,30,Q2,03:52,Gerson Goncalves,made the assist,1432,3,B,ANG,2,0,0.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,33,30,Q2,03:52,Rudy Fernandez,Substitution out,1432,5,A,ESP,2,1,0.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_12.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_12--competition_208791,33,30,Q2,03:52,Bruno Fernando,Substitution out,1432,20,B,ANG,2,1,0.0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,33,30,Q2,03:52,Xabi Lopez-Arostegui,Substitution in,1432,6,A,ESP,2,2,0.0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_12.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_12--competition_208791,33,30,Q2,03:52,Luis Pereira,Substitution in,1432,88,B,ANG,2,2,0.0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,34,30,Q2,03:36,Lorenzo Brown,1st of 2 free throws made,1416,2,A,ESP,2,0,16.0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,33,30,Q2,03:36,Lorenzo Brown,foul drawn,1416,2,A,ESP,2,0,0.0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,35,30,Q2,03:36,Lorenzo Brown,2nd of 2 free throws made,1416,2,A,ESP,2,0,0.0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1
