Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_0_j_A,X_5_j_A,X_7_j_A,X_8_j_A,X_11_j_A,X_14_j_A,X_16_j_A,X_34_j_A,X_44_j_A,X_0_j_B,X_1_j_B,X_2_j_B,X_4_j_B,X_7_j_B,X_8_j_B,X_9_j_B,X_13_j_B,X_19_j_B,X_24_j_B,X_92_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,0,4,Q1,08:19,Nick Calathes,foul drawn,2299,8,A,GRE,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,0,4,Q1,08:19,Nick Calathes,offensive foul,2299,8,A,GRE,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,0,4,Q1,08:19,Nick Calathes,turnover,2299,8,A,GRE,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,0,4,Q1,08:19,Luguentz Dort,foul drawn,2299,0,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,0,4,Q1,08:19,Luguentz Dort,personal foul,2299,0,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,0,6,Q1,08:10,Dillon Brooks,2pt step back jump shot made,2290,24,B,CAN,1,0,9.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,0,6,Q1,07:52,Georgios Papagiannis,foul drawn,2272,14,A,GRE,1,0,18.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,0,6,Q1,07:52,Shai Gilgeous-Alexander,personal foul,2272,2,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,0,6,Q1,07:38,Thomas Walkup,3pt jump shot missed,2258,0,A,GRE,1,0,14.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,0,6,Q1,07:38,Shai Gilgeous-Alexander,blocked the shot,2258,2,B,CAN,1,0,0.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,0,6,Q1,07:37,,team turnover; 24 seconds violation,2257,,,,1,0,1.0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
