Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_1_j_A,X_9_j_A,X_13_j_A,X_18_j_A,X_19_j_A,X_20_j_A,X_21_j_A,X_24_j_A,X_30_j_A,X_34_j_A,X_2_j_B,X_4_j_B,X_5_j_B,X_6_j_B,X_7_j_B,X_8_j_B,X_9_j_B,X_14_j_B,X_16_j_B,X_23_j_B,X_24_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,4,6,Q1,07:22,Sergio Llull,2pt driving layup made,2242,23,B,ESP,1,0,18.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,4,6,Q1,07:08,Olivier Nkamhoua,turnover; bad pass,2228,13,A,FIN,1,0,14.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,4,6,Q1,06:53,Mikael Jantunen,defensive rebound,2213,18,A,FIN,1,0,15.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,4,6,Q1,06:53,Sergio Llull,3pt jump shot missed,2213,23,B,ESP,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,4,6,Q1,06:41,Jacob Grandison,3pt jump shot missed,2201,34,A,FIN,1,0,12.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,4,6,Q1,06:41,Santi Aldama,defensive rebound,2201,7,B,ESP,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,4,6,Q1,06:28,Elias Valtonen,steal,2188,19,A,FIN,1,0,13.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,4,6,Q1,06:28,Xabi Lopez-Arostegui,turnover; bad pass,2188,6,B,ESP,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,6,6,Q1,06:22,Jacob Grandison,made the assist,2182,34,A,FIN,1,0,6.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,6,6,Q1,06:22,Olivier Nkamhoua,dunk made,2182,13,A,FIN,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,6,6,Q1,06:21,Jacob Grandison,Substitution out,2181,34,A,FIN,1,1,1.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,6,6,Q1,06:21,Edon Maxhuni,Substitution out,2181,21,A,FIN,1,1,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,6,6,Q1,06:21,Sasu Salin,Substitution in,2181,9,A,FIN,1,2,0.0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,6,6,Q1,06:21,Miro Little,Substitution in,2181,1,A,FIN,1,2,0.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,6,8,Q1,06:03,Lorenzo Brown,2pt driving layup made,2163,2,B,ESP,1,0,18.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,6,8,Q1,05:49,Elias Valtonen,3pt jump shot missed,2149,19,A,FIN,1,0,14.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,6,8,Q1,05:48,,team offensive rebound,2148,,,,1,0,1.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,6,8,Q1,05:39,Miro Little,3pt jump shot missed,2139,1,A,FIN,1,0,9.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,6,8,Q1,05:39,Santi Aldama,defensive rebound,2139,7,B,ESP,1,0,0.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,6,8,Q1,05:16,Sasu Salin,steal,2116,9,A,FIN,1,0,23.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,6,8,Q1,05:16,Santi Aldama,turnover; bad pass,2116,7,B,ESP,1,0,0.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,8,8,Q1,05:10,Sasu Salin,made the assist,2110,9,A,FIN,1,0,6.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,8,8,Q1,05:10,Mikael Jantunen,2pt driving layup made,2110,18,A,FIN,1,0,0.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,8,8,Q1,04:59,Lorenzo Brown,turnover; bad pass,2099,2,B,ESP,1,0,11.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,8,8,Q1,04:59,Mikael Jantunen,Substitution out,2099,18,A,FIN,1,1,0.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,8,8,Q1,04:59,Sergio Llull,Substitution out,2099,23,B,ESP,1,1,0.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,8,8,Q1,04:59,Lorenzo Brown,Substitution out,2099,2,B,ESP,1,1,0.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,8,8,Q1,04:59,Alexander Madsen,Substitution in,2099,20,A,FIN,1,2,0.0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,8,8,Q1,04:59,Dario Brizuela,Substitution in,2099,8,B,ESP,1,2,0.0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,8,8,Q1,04:59,Juan Nunez,Substitution in,2099,24,B,ESP,1,2,0.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,8,8,Q1,04:54,Miro Little,turnover; ball handling,2094,1,A,FIN,1,0,5.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,8,10,Q1,04:42,Santi Aldama,dunk made,2082,7,B,ESP,1,0,12.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,8,10,Q1,04:42,Juan Nunez,made the assist,2082,24,B,ESP,1,0,0.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,11,10,Q1,04:26,Miro Little,3pt jump shot made,2066,1,A,FIN,1,0,16.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,11,10,Q1,04:26,Sasu Salin,made the assist,2066,9,A,FIN,1,0,0.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
