Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_0_j_A,X_1_j_A,X_2_j_A,X_4_j_A,X_7_j_A,X_8_j_A,X_9_j_A,X_13_j_A,X_19_j_A,X_24_j_A,X_92_j_A,X_1_j_B,X_3_j_B,X_5_j_B,X_6_j_B,X_11_j_B,X_13_j_B,X_15_j_B,X_17_j_B,X_22_j_B,X_26_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,11,15,Q1,04:34,Dwight Powell,Substitution out,2074,7,A,CAN,1,1,0.0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,11,15,Q1,04:34,RJ Barrett,Substitution out,2074,9,A,CAN,1,1,0.0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,11,15,Q1,04:34,Jamal Murray,Substitution in,2074,4,A,CAN,1,2,0.0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,11,15,Q1,04:34,Trey Lyles,Substitution in,2074,8,A,CAN,1,2,0.0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,12,15,Q1,04:34,Dillon Brooks,1st of 2 free throws made,2074,24,A,CAN,1,0,0.0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,13,15,Q1,04:34,Dillon Brooks,2nd of 2 free throws made,2074,24,A,CAN,1,0,0.0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,13,17,Q1,04:14,Dante Exum,2pt step back jump shot made,2054,11,B,AUS,1,0,20.0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,13,17,Q1,03:59,Dillon Brooks,turnover; ball handling,2039,24,A,CAN,1,0,15.0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,13,17,Q1,03:59,Jock Landale,Substitution out,2039,13,B,AUS,1,1,0.0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,13,17,Q1,03:59,Will Magnay,Substitution in,2039,22,B,AUS,1,2,0.0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,13,19,Q1,03:47,Patty Mills,2pt floating jump shot made,2027,5,B,AUS,1,0,12.0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,15,19,Q1,03:29,Andrew Nembhard,made the assist,2009,19,A,CAN,1,0,18.0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,15,19,Q1,03:29,Trey Lyles,layup made,2009,8,A,CAN,1,0,0.0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,15,19,Q1,03:19,Luguentz Dort,personal foul,1999,0,A,CAN,1,0,10.0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,15,19,Q1,03:19,Will Magnay,foul drawn,1999,22,B,AUS,1,0,0.0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,15,19,Q1,03:19,Luguentz Dort,Substitution out,1999,0,A,CAN,1,1,0.0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
