,Team,Team_Flag_Src,Score_A,Score_B,Period,Time,Number,Player,Action_Description,Total_Seconds,quarter,time_elapsed,X_0_j_A,X_1_j_A,X_2_j_A,X_3_j_A,X_7_j_A,X_9_j_A,X_13_j_A,X_23_j_A,X_24_j_A,X_2_j_B,X_6_j_B,X_8_j_B,X_9_j_B,X_10_j_B,X_11_j_B,X_14_j_B,X_32_j_B,X_50_j_B,X_99_j_B
138,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,23,22,Q2,6:42,9,RJ  Barrett,Substitution in,1602.0,2,0.0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1
139,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,23,22,Q2,6:42,7,Dwight Powell,Substitution in,1602.0,2,0.0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1
140,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,23,22,Q2,6:34,8,Vítor Benite,2pt jump shot missed,1594.0,2,8.0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1
141,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,23,22,Q2,6:34,1,Nickeil Alexander-Walker,defensive rebound,1594.0,2,0.0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1
142,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,23,22,Q2,6:19,13,Kelly Olynyk,Substitution out,1579.0,2,15.0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1
143,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,23,22,Q2,6:19,0,Luguentz Dort,Substitution in,1579.0,2,0.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
144,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,22,Q2,6:18,2,Shai Gilgeous-Alexander,made the assist,1578.0,2,1.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
145,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,22,Q2,6:18,0,Luguentz Dort,3pt jump shot made,1578.0,2,0.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
146,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,22,Q2,6:02,2,Yago Santos,3pt jump shot from center missed,1562.0,2,16.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
147,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,22,Q2,6:02,9,RJ  Barrett,defensive rebound,1562.0,2,0.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
148,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,22,Q2,5:50,50,Bruno Caboclo,defensive rebound,1550.0,2,12.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
149,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,22,Q2,5:50,9,RJ  Barrett,2pt pullup jump shot missed,1550.0,2,0.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
150,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,5:31,2,Yago Santos,made the assist,1531.0,2,19.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
151,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,5:31,8,Vítor Benite,3pt jump shot made,1531.0,2,0.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
152,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,5:12,50,Bruno Caboclo,defensive rebound,1512.0,2,19.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
153,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,5:12,2,Shai Gilgeous-Alexander,2pt step back jump shot missed,1512.0,2,0.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
154,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,4:49,8,Vítor Benite,turnover; ball handling,1489.0,2,23.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
155,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,4:49,9,RJ  Barrett,steal,1489.0,2,0.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
156,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,4:44,2,Shai Gilgeous-Alexander,offensive rebound,1484.0,2,5.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
157,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,4:44,0,Luguentz Dort,3pt jump shot missed,1484.0,2,0.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
158,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,4:43,99,Lucas Dias,personal foul; 2 free throws awarded,1483.0,2,1.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
159,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,4:43,2,Shai Gilgeous-Alexander,foul drawn,1483.0,2,0.0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
160,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,4:43,1,Nickeil Alexander-Walker,Substitution out,1483.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,4:43,50,Bruno Caboclo,Substitution out,1483.0,2,0.0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
162,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,4:43,24,Dillon Brooks,Substitution in,1483.0,2,0.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1
163,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,26,25,Q2,4:43,14,Leonardo Meindl,Substitution in,1483.0,2,0.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
164,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,27,25,Q2,4:43,2,Shai Gilgeous-Alexander,1st of 2 free throw made,1483.0,2,0.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
165,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,28,25,Q2,4:43,2,Shai Gilgeous-Alexander,2nd of 2 free throws made,1483.0,2,0.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
166,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,28,25,Q2,4:20,99,Lucas Dias,3pt jump shot missed,1460.0,2,23.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
167,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,28,25,Q2,4:20,9,RJ  Barrett,defensive rebound,1460.0,2,0.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
