Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_0_j_A,X_5_j_A,X_7_j_A,X_8_j_A,X_11_j_A,X_14_j_A,X_16_j_A,X_34_j_A,X_44_j_A,X_0_j_B,X_1_j_B,X_2_j_B,X_4_j_B,X_7_j_B,X_8_j_B,X_9_j_B,X_13_j_B,X_19_j_B,X_24_j_B,X_92_j_B,game_code,X_1_j_A,X_2_j_A,X_4_j_A,X_9_j_A,X_13_j_A,X_19_j_A,X_24_j_A,X_92_j_A,X_3_j_B,X_5_j_B,X_6_j_B,X_11_j_B,X_15_j_B,X_17_j_B,X_22_j_B,X_26_j_B,X_3_j_A,X_10_j_B,X_14_j_B,X_16_j_B,X_21_j_B,X_23_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,0,6,Q1,07:38,Shai Gilgeous-Alexander,blocked the shot,2258,2.0,B,CAN,1,0,0.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,0,6,Q1,07:37,,team turnover; 24 seconds violation,2257,,,,1,0,1.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,0,6,Q1,07:23,Nick Calathes,defensive rebound,2243,8.0,A,GRE,1,0,14.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,0,6,Q1,07:23,Shai Gilgeous-Alexander,3pt jump shot missed,2243,2.0,B,CAN,1,0,0.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,3,6,Q1,07:08,Kostas Papanikolaou,3pt jump shot made,2228,16.0,A,GRE,1,0,15.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,3,6,Q1,07:08,Giannis Antetokounmpo,made the assist,2228,34.0,A,GRE,1,0,0.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,3,6,Q1,06:50,Dillon Brooks,2pt driving layup missed,2210,24.0,B,CAN,1,0,18.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,3,6,Q1,06:50,Dwight Powell,offensive rebound,2210,7.0,B,CAN,1,0,0.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,3,8,Q1,06:44,Dwight Powell,tip in made,2204,7.0,B,CAN,1,0,6.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,4,8,Q1,06:42,Giannis Antetokounmpo,1st of 2 free throws made,2202,34.0,A,GRE,1,0,2.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,5,8,Q1,06:42,Giannis Antetokounmpo,2nd of 2 free throws made,2202,34.0,A,GRE,1,0,0.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,3,8,Q1,06:42,Giannis Antetokounmpo,foul drawn,2202,34.0,A,GRE,1,0,0.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,3,8,Q1,06:42,Dwight Powell,personal foul; 2 free throws awarded,2202,7.0,B,CAN,1,0,0.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,5,10,Q1,06:22,Nick Calathes,personal foul; 1 free throw awarded,2182,8.0,A,GRE,1,0,20.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,5,10,Q1,06:22,Shai Gilgeous-Alexander,foul drawn,2182,2.0,B,CAN,1,0,0.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,5,10,Q1,06:22,Shai Gilgeous-Alexander,2pt step back jump shot made,2182,2.0,B,CAN,1,0,0.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,5,11,Q1,06:22,Shai Gilgeous-Alexander,1st free throw made,2182,2.0,B,CAN,1,0,0.0,1,0.0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,117644,,,,,,,,,,,,,,,,,,,,,,
