Player,Total_Plus_Minus_On,Total_Plus_Minus_Off
Isaia Cordinier,18,-16
Rudy Gobert,14,-12
Frank Ntilikina,13,-11
Mathias Lessort,3,-1
Andrew Albicy,2,0
Nicolas Batum,2,0
Nando De Colo,1,1
Victor Wembanyama,1,1
Evan Fournier,-7,9
Matthew Strazel,-10,12
Guerschon Yabusele,-11,13
Bilal Coulibaly,-16,18
