Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_3_j_A,X_5_j_A,X_7_j_A,X_9_j_A,X_13_j_A,X_15_j_A,X_22_j_A,X_23_j_A,X_30_j_A,X_33_j_A,X_4_j_B,X_5_j_B,X_6_j_B,X_7_j_B,X_8_j_B,X_11_j_B,X_12_j_B,X_13_j_B,X_14_j_B,X_15_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,4,0,Q1,08:12,Nikola Jokic,turnover; ball handling,2292,15,A,SRB,1,0,17.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_154.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_154--competition_208722,4,0,Q1,08:12,Jrue Holiday,steal,2292,12,B,USA,1,0,0.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_154.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_154--competition_208722,4,2,Q1,08:08,LeBron James,dunk made,2288,6,B,USA,1,0,4.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,6,2,Q1,07:55,Filip Petrusev,layup made,2275,3,A,SRB,1,0,13.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,6,2,Q1,07:35,Ognjen Dobric,foul drawn,2255,13,A,SRB,1,0,20.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_154.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_154--competition_208722,6,2,Q1,07:35,Jrue Holiday,offensive foul,2255,12,B,USA,1,0,0.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_154.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_154--competition_208722,6,2,Q1,07:35,Jrue Holiday,turnover,2255,12,B,USA,1,0,0.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,8,2,Q1,07:26,Aleksa Avramovic,2pt driving layup made,2246,30,A,SRB,1,0,9.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,8,2,Q1,07:21,Ognjen Dobric,steal,2241,13,A,SRB,1,0,5.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_154.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_154--competition_208722,8,2,Q1,07:21,Joel Embiid,turnover; bad pass,2241,11,B,USA,1,0,0.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_154.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_154--competition_208722,10,2,Q1,07:19,,Timeout,2239,,,,1,0,2.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,10,2,Q1,07:19,Ognjen Dobric,2pt floating jump shot made,2239,13,A,SRB,1,0,0.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_154.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_154--competition_208722,10,2,Q1,07:19,Joel Embiid,Substitution out,2239,11,B,USA,1,1,0.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
