Team,Team_Flag_Src,Score_A,Score_B,Period,Time,Number,Player,Action_Description,Total_Seconds,quarter,time_elapsed,X_4_j_A,X_5_j_A,X_6_j_A,X_9_j_A,X_10_j_A,X_11_j_A,X_12_j_A,X_14_j_A,X_15_j_A,X_0_j_B,X_1_j_B,X_2_j_B,X_3_j_B,X_7_j_B,X_9_j_B,X_13_j_B,X_15_j_B,X_23_j_B,X_24_j_B
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,89,Q3,0:52,24,Dillon Brooks,Substitution in,952.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,90,Q3,0:52,9,RJ Barrett,1st of 2 free throw made,952.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,90,Q3,0:52,2,Shai Gilgeous-Alexander,made the assist,952.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,80,91,Q3,0:52,9,RJ Barrett,2nd of 2 free throws made,952.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,82,91,Q3,0:34,15,Austin Reaves,2pt pullup jump shot made,934.0,3,18.0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,82,91,Q3,0:08,24,Dillon Brooks,2pt fadeaway jump shot missed,908.0,3,26.0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,82,91,Q3,0:08,9,Bobby Portis Jr,defensive rebound,908.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,82,91,Q3,0:02,3,Melvin Ejim,defensive rebound,902.0,3,6.0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,82,91,Q3,0:02,10,Anthony Edwards,3pt pullup jump shot missed,902.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
,,56,58,Q3,00:00,,,End of quarter,900.0,3,2.0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
,,56,60,Q3,00:00,,,End of quarter,900.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,82,91,Q4,9:54,15,Austin Reaves,foul drawn,894.0,4,6.0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,82,91,Q4,9:54,0,Luguentz Dort,personal foul,894.0,4,0.0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,82,91,Q4,9:45,3,Melvin Ejim,personal foul; 2 free throws awarded,885.0,4,9.0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,82,91,Q4,9:45,9,Bobby Portis Jr,foul drawn,885.0,4,0.0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,83,91,Q4,9:45,9,Bobby Portis Jr,1st of 2 free throws made,885.0,4,0.0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,91,Q4,9:45,9,Bobby Portis Jr,2nd of 2 free throws made,885.0,4,0.0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,91,Q4,9:45,0,Luguentz Dort,Substitution out,885.0,4,0.0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,91,Q4,9:45,13,Kelly Olynyk,Substitution in,885.0,4,0.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,91,Q4,9:33,3,Melvin Ejim,3pt jump shot missed,873.0,4,12.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,91,Q4,9:33,4,Tyrese Haliburton,defensive rebound,873.0,4,0.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,91,Q4,9:23,3,Melvin Ejim,defensive rebound,863.0,4,10.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,91,Q4,9:23,15,Austin Reaves,3pt pullup jump shot missed,863.0,4,0.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,91,Q4,9:08,13,Kelly Olynyk,3pt jump shot missed,848.0,4,15.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,91,Q4,9:08,3,Melvin Ejim,offensive rebound,848.0,4,0.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,91,Q4,9:01,1,Nickeil Alexander-Walker,3pt jump shot missed,841.0,4,7.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,91,Q4,9:01,13,Kelly Olynyk,offensive rebound,841.0,4,0.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,93,Q4,8:58,13,Kelly Olynyk,foul drawn,838.0,4,3.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,93,Q4,8:58,11,Jalen Brunson,personal foul; 1 free throw awarded,838.0,4,0.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,93,Q4,8:58,13,Kelly Olynyk,layup made,838.0,4,0.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,94,Q4,8:58,13,Kelly Olynyk,free throw made,838.0,4,0.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,94,Q4,8:45,11,Jalen Brunson,layup missed,825.0,4,13.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,94,Q4,8:45,3,Melvin Ejim,defensive rebound,825.0,4,0.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,94,Q4,8:42,3,Melvin Ejim,turnover; bad pass,822.0,4,3.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,94,Q4,8:42,11,Jalen Brunson,Substitution out,822.0,4,0.0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,94,Q4,8:42,10,Anthony Edwards,Substitution in,822.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,94,Q4,8:26,3,Melvin Ejim,personal foul; 2 free throws awarded,806.0,4,16.0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,94,Q4,8:26,5,Mikal Bridges,foul drawn,806.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,94,Q4,8:26,3,Melvin Ejim,Substitution out,806.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,84,94,Q4,8:26,9,RJ Barrett,Substitution in,806.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,85,94,Q4,8:26,10,Anthony Edwards,made the assist,806.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,85,94,Q4,8:26,5,Mikal Bridges,1st of 2 free throws made,806.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,86,94,Q4,8:26,5,Mikal Bridges,2nd of 2 free throws made,806.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,86,94,Q4,8:09,10,Anthony Edwards,steal,789.0,4,17.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,86,94,Q4,8:09,13,Kelly Olynyk,turnover; bad pass,789.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,89,94,Q4,8:00,4,Tyrese Haliburton,3pt jump shot made,780.0,4,9.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,89,94,Q4,8:00,10,Anthony Edwards,made the assist,780.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,89,94,Q4,7:45,9,Bobby Portis Jr,defensive rebound,765.0,4,15.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,89,94,Q4,7:45,24,Dillon Brooks,2pt driving layup missed,765.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,91,94,Q4,7:36,4,Tyrese Haliburton,made the assist,756.0,4,9.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,91,94,Q4,7:36,15,Austin Reaves,2pt driving layup made,756.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,91,94,Q4,7:27,15,Austin Reaves,personal foul,747.0,4,9.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,91,94,Q4,7:27,1,Nickeil Alexander-Walker,foul drawn,747.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,91,94,Q4,7:17,1,Nickeil Alexander-Walker,3pt jump shot from center missed,737.0,4,10.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,91,94,Q4,7:17,15,Austin Reaves,defensive rebound,737.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,91,94,Q4,7:02,5,Mikal Bridges,offensive rebound,722.0,4,15.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,91,94,Q4,7:02,10,Anthony Edwards,2pt step back jump shot missed,722.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,94,94,Q4,6:58,4,Tyrese Haliburton,3pt jump shot made,718.0,4,4.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,94,94,Q4,6:58,5,Mikal Bridges,made the assist,718.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,94,94,Q4,6:58,1,Nickeil Alexander-Walker,Substitution out,718.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,94,94,Q4,6:58,13,Kelly Olynyk,Substitution out,718.0,4,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,94,94,Q4,6:58,7,Dwight Powell,Substitution in,718.0,4,0.0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,94,94,Q4,6:58,0,Luguentz Dort,Substitution in,718.0,4,0.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,94,94,Q4,6:41,5,Mikal Bridges,steal,701.0,4,17.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,94,94,Q4,6:41,9,RJ Barrett,turnover; ball handling,701.0,4,0.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,94,94,Q4,6:37,5,Mikal Bridges,2pt driving layup blocked,697.0,4,4.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,94,94,Q4,6:37,24,Dillon Brooks,blocked the shot,697.0,4,0.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,96,94,Q4,6:23,10,Anthony Edwards,2pt step back jump shot made,683.0,4,14.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,96,94,Q4,6:05,0,Luguentz Dort,2pt floating jump shot missed,665.0,4,18.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,96,94,Q4,6:05,5,Mikal Bridges,defensive rebound,665.0,4,0.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,96,94,Q4,5:47,5,Mikal Bridges,3pt jump shot missed,647.0,4,18.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,96,94,Q4,5:47,2,Shai Gilgeous-Alexander,defensive rebound,647.0,4,0.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,96,94,Q4,5:42,2,Shai Gilgeous-Alexander,2pt floating jump shot missed,642.0,4,5.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,96,94,Q4,5:42,0,Luguentz Dort,offensive rebound,642.0,4,0.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,96,96,Q4,5:40,0,Luguentz Dort,tip in made,640.0,4,2.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,96,96,Q4,5:25,2,Shai Gilgeous-Alexander,personal foul; 2 free throws awarded,625.0,4,15.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,96,96,Q4,5:25,15,Austin Reaves,foul drawn,625.0,4,0.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,97,96,Q4,5:25,15,Austin Reaves,1st of 2 free throws made,625.0,4,0.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,98,96,Q4,5:25,15,Austin Reaves,2nd of 2 free throws made,625.0,4,0.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,98,98,Q4,5:06,2,Shai Gilgeous-Alexander,made the assist,606.0,4,19.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,98,98,Q4,5:06,24,Dillon Brooks,2pt driving layup made,606.0,4,0.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,98,98,Q4,4:51,9,Bobby Portis Jr,3pt jump shot missed,591.0,4,15.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,98,98,Q4,4:49,24,Dillon Brooks,foul drawn,589.0,4,2.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,98,98,Q4,4:49,5,Mikal Bridges,personal foul,589.0,4,0.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,98,98,Q4,4:49,9,Bobby Portis Jr,Substitution out,589.0,4,0.0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,98,98,Q4,4:49,12,Josh Hart,Substitution in,589.0,4,0.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,98,98,Q4,4:35,9,RJ Barrett,3pt jump shot missed,575.0,4,14.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,98,98,Q4,4:35,15,Austin Reaves,defensive rebound,575.0,4,0.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,98,98,Q4,4:22,7,Dwight Powell,defensive rebound,562.0,4,13.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,98,98,Q4,4:22,5,Mikal Bridges,2pt fadeaway jump shot missed,562.0,4,0.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,98,100,Q4,4:14,9,RJ Barrett,2pt driving layup made,554.0,4,8.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,100,100,Q4,3:55,15,Austin Reaves,2pt floating jump shot made,535.0,4,19.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,100,100,Q4,3:35,24,Dillon Brooks,2pt fadeaway jump shot missed,515.0,4,20.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,100,100,Q4,3:35,7,Dwight Powell,offensive rebound,515.0,4,0.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,100,100,Q4,3:23,2,Shai Gilgeous-Alexander,turnover; travelling,503.0,4,12.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,100,100,Q4,3:06,0,Luguentz Dort,defensive rebound,486.0,4,17.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,100,100,Q4,3:06,4,Tyrese Haliburton,3pt step back jump shot missed,486.0,4,0.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,100,100,Q4,2:58,9,RJ Barrett,turnover; bad pass,478.0,4,8.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,100,100,Q4,2:58,15,Austin Reaves,steal,478.0,4,0.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
