Team,Team_Flag_Src,Score_A,Score_B,Period,Time,Number,Player,Action_Description,Total_Seconds,quarter,time_elapsed,X_4_j_A,X_5_j_A,X_6_j_A,X_9_j_A,X_10_j_A,X_11_j_A,X_12_j_A,X_14_j_A,X_15_j_A,X_0_j_B,X_1_j_B,X_2_j_B,X_3_j_B,X_7_j_B,X_9_j_B,X_13_j_B,X_15_j_B,X_23_j_B,X_24_j_B
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,70,72,Q3,4:51,1,Nickeil Alexander-Walker,Substitution in,1191.0,3,0.0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,70,72,Q3,4:51,4,Tyrese Haliburton,Substitution in,1191.0,3,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,70,73,Q3,4:51,2,Shai Gilgeous-Alexander,1st of 2 free throws made,1191.0,3,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,70,74,Q3,4:51,2,Shai Gilgeous-Alexander,2nd of 2 free throws made,1191.0,3,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,70,74,Q3,4:36,7,Dwight Powell,blocked the shot,1176.0,3,15.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,70,74,Q3,4:36,14,Walker Kessler,offensive rebound,1176.0,3,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,70,74,Q3,4:36,10,Anthony Edwards,2pt driving layup blocked,1176.0,3,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,70,74,Q3,4:31,2,Shai Gilgeous-Alexander,blocked the shot,1171.0,3,5.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,70,74,Q3,4:31,4,Tyrese Haliburton,2pt floating jump shot blocked,1171.0,3,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,74,Q3,4:28,5,Mikal Bridges,3pt jump shot made,1168.0,3,3.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,74,Q3,4:28,4,Tyrese Haliburton,made the assist,1168.0,3,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,76,Q3,4:15,2,Shai Gilgeous-Alexander,foul drawn,1155.0,3,13.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,76,Q3,4:15,2,Shai Gilgeous-Alexander,layup made,1155.0,3,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,76,Q3,4:15,14,Walker Kessler,personal foul; 1 free throw awarded,1155.0,3,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,76,Q3,4:15,7,Dwight Powell,Substitution out,1155.0,3,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,76,Q3,4:15,14,Walker Kessler,Substitution out,1155.0,3,0.0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
