Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_3_j_A,X_5_j_A,X_7_j_A,X_9_j_A,X_13_j_A,X_15_j_A,X_22_j_A,X_23_j_A,X_27_j_A,X_30_j_A,X_33_j_A,X_4_j_B,X_5_j_B,X_6_j_B,X_7_j_B,X_9_j_B,X_10_j_B,X_11_j_B,X_13_j_B,X_14_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,5,5,Q1,07:19,Carlik Jones,made the assist,2239,4,B,SSD,1,0,0.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,5,5,Q1,07:19,Bul Kuol,foul drawn,2239,7,B,SSD,1,0,0.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,7,6,Q1,07:08,Filip Petrusev,2pt driving layup made,2228,3,A,SRB,1,0,11.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,7,6,Q1,07:08,Aleksa Avramovic,made the assist,2228,30,A,SRB,1,0,0.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,7,6,Q1,07:01,Wenyen Gabriel,turnover; ball handling,2221,9,B,SSD,1,0,7.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,10,6,Q1,06:45,Bogdan Bogdanovic,3pt step back jump shot made,2205,7,A,SRB,1,0,16.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,10,6,Q1,06:33,Nuni Omot,2pt floating jump shot missed,2193,5,B,SSD,1,0,12.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,10,6,Q1,06:31,,team defensive rebound,2191,,,,1,0,2.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,10,6,Q1,06:13,Filip Petrusev,foul drawn,2173,3,A,SRB,1,0,18.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,12,6,Q1,06:13,Filip Petrusev,2nd of 2 free throws made,2173,3,A,SRB,1,0,0.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,11,6,Q1,06:13,Filip Petrusev,1st of 2 free throws made,2173,3,A,SRB,1,0,0.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,10,6,Q1,06:13,Bul Kuol,personal foul; 2 free throws awarded,2173,7,B,SSD,1,0,0.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,12,8,Q1,05:52,Carlik Jones,2pt pullup jump shot made,2152,4,B,SSD,1,0,21.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,12,8,Q1,05:32,Filip Petrusev,3pt jump shot missed,2132,3,A,SRB,1,0,20.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
